# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1350508874
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-18044.3,1,0.00195312,5,31,0,100162,-1.81368,0.546548,1.72605,-0.869954,1.06298,-0.306593,-0.671763,-0.127443,-0.24153,-1.42882,1.37816,0.574089,1.7359,-0.882642,1.28635,-1.83855,1.19118,-1.44958,1.30853,-51.5716,21.6944,65.7539,-26.9558,17.4614,12.7891,-1.5256,1.48678,1.57587,0.633612,1.01231,-1.09094,2.06097,-282.412,275.307,0.774809,-2.56224,0.909372,3.79184,-6533.65,3086.25,8514.62,-3154.3,2233.64,2914.87,-285.131,685.802,362.109,-238.619,183.355,100.154,508.717,-34740.8,32908,60.9417,-900.009,415.35,1141.76
-18044.3,0,10.0182,0,1,1,18055.9,-1.81368,0.546548,1.72605,-0.869954,1.06298,-0.306593,-0.671763,-0.127443,-0.24153,-1.42882,1.37816,0.574089,1.7359,-0.882642,1.28635,-1.83855,1.19118,-1.44958,1.30853,-1.71097,0.282205,-0.329351,0.341474,-0.0944918,0.0262824,1.1373,0.312081,-1.63426,0.620035,-1.08111,0.161692,1.66267,-2.85126,-0.562971,0.719803,0.21812,1.30963,0.940145,-6533.65,3086.25,8514.62,-3154.3,2233.64,2914.87,-285.131,685.802,362.109,-238.619,183.355,100.154,508.717,-34740.8,32908,60.9417,-900.009,415.35,1141.76
-18044.3,0,0.951493,0,1,1,18058.8,-1.81368,0.546548,1.72605,-0.869954,1.06298,-0.306593,-0.671763,-0.127443,-0.24153,-1.42882,1.37816,0.574089,1.7359,-0.882642,1.28635,-1.83855,1.19118,-1.44958,1.30853,-0.897428,0.329914,1.06593,0.841573,-0.790192,-1.86811,-0.144165,-0.477263,-0.442259,-0.867899,1.71334,-1.45889,-0.481863,0.449906,0.627279,-0.0177928,-2.74787,-0.0627859,2.7453,-6533.65,3086.25,8514.62,-3154.3,2233.64,2914.87,-285.131,685.802,362.109,-238.619,183.355,100.154,508.717,-34740.8,32908,60.9417,-900.009,415.35,1141.76
-18044.3,0,0.0488594,0,1,1,18054.6,-1.81368,0.546548,1.72605,-0.869954,1.06298,-0.306593,-0.671763,-0.127443,-0.24153,-1.42882,1.37816,0.574089,1.7359,-0.882642,1.28635,-1.83855,1.19118,-1.44958,1.30853,0.104921,-1.15783,0.230661,1.02258,0.335671,0.781563,-0.0907286,-0.319194,-0.165171,0.228245,-0.803386,1.59613,1.83907,0.957088,-2.24551,-1.81867,-0.948829,-0.602672,0.371468,-6533.65,3086.25,8514.62,-3154.3,2233.64,2914.87,-285.131,685.802,362.109,-238.619,183.355,100.154,508.717,-34740.8,32908,60.9417,-900.009,415.35,1141.76
-7676.93,1,0.00191619,2,3,0,17365.5,-1.77487,0.523412,1.66695,-0.850959,1.04068,-0.323894,-0.672553,-0.129252,-0.243296,-1.42784,1.3702,0.577468,1.724,-0.659861,1.07082,-1.83809,1.19714,-1.45152,1.30402,-17.5633,9.59931,25.1775,-8.516,8.39076,8.31723,-0.172976,1.42807,0.929013,-0.751357,2.35946,-0.714765,3.94617,-97.2018,92.9568,-0.0412901,-2.78217,1.05351,2.69527,-2684.56,1300.14,3540.52,-1276.71,939.457,1527.73,-155.267,406.33,187.773,-269.259,130.771,80.5377,403.871,-13920.2,12991,32.6385,-514.213,223.871,619.401
-7381.43,1,0.00132442,1,1,0,7676.58,-1.77189,0.522911,1.66453,-0.849122,1.04044,-0.325267,-0.673051,-0.130398,-0.244506,-1.42626,1.36807,0.577732,1.72437,-0.650179,1.05973,-1.84014,1.19784,-1.45243,1.30479,3.9574,-1.20541,-4.07854,2.19656,-0.784622,-2.02135,-0.276228,-1.12842,-1.03474,1.37827,-1.6955,0.146683,0.0194468,16.135,-16.5991,-1.56711,0.865561,-0.835316,0.187533,-2573.56,1248.93,3398.04,-1222.41,902.443,1487.08,-151.049,397.085,182.211,-269.811,128.846,80.0144,400.654,-13326.3,12427.2,31.3476,-504.199,217.951,603.606
-5930.41,1,0.00104407,2,3,0,7376.41,-1.76283,0.51913,1.65513,-0.840444,1.03106,-0.334579,-0.666862,-0.135953,-0.243484,-1.4252,1.36314,0.5785,1.7241,-0.585906,1.00516,-1.84541,1.20459,-1.45075,1.2998,6.44709,-2.92281,-7.68379,4.4575,-4.23023,-5.03827,2.19176,-2.34616,0.0667974,0.767041,-1.76534,0.124211,-0.695392,38.7628,-34.4288,-1.73094,2.87613,0.230684,-2.4411,-2042.28,982.43,2684.94,-968.833,708.456,1197.36,-127.714,342.197,153.163,-277.106,118.491,75.2644,380.264,-10395.9,9684.91,28.0261,-426.515,180.065,495.192
-5608.43,1,0.000899589,2,3,0,5937.3,-1.76041,0.520674,1.65109,-0.8371,1.02788,-0.337196,-0.666154,-0.133808,-0.24154,-1.42659,1.36355,0.580161,1.72222,-0.570725,0.989656,-1.84323,1.20633,-1.45456,1.29781,-3.12129,-0.00595157,4.56848,-2.69897,2.38115,2.49163,-0.505472,-0.890086,-0.946139,0.524834,-0.12435,-0.855798,1.38523,-17.4254,16.9905,-1.18967,-1.33581,2.27504,1.53898,-1925.43,926.024,2524.3,-912.977,664.73,1127.63,-122.835,331.848,146.992,-279.195,116.51,74.2394,374.861,-9745.25,9074.78,27.8336,-405.965,170.438,470.154
-5342.47,1,0.000824805,2,3,0,5622.83,-1.75987,0.520173,1.65076,-0.83622,1.03209,-0.335785,-0.665915,-0.134571,-0.243324,-1.42783,1.36249,0.582294,1.72428,-0.554257,0.977097,-1.84335,1.20949,-1.45307,1.29757,1.85557,-1.04272,-2.21228,1.25794,2.01831,-0.0616967,0.244177,-0.730812,-1.19944,-0.516869,-0.741066,1.23214,0.940469,17.7359,-14.8296,-0.096011,2.24415,0.763946,-0.525796,-1818.79,878.295,2390.92,-859.854,632.324,1097.73,-118.44,320.734,140.824,-279.91,114.628,74.21,372.251,-9202.98,8563.94,25.9019,-394.579,165.444,455.812
-5161.38,1,0.000790632,2,3,0,5353.31,-1.75525,0.517989,1.64774,-0.837058,1.03045,-0.336595,-0.663088,-0.139426,-0.243188,-1.42643,1.36238,0.583844,1.72249,-0.545205,0.967983,-1.84458,1.21042,-1.45322,1.29469,4.33174,-2.05928,-3.76105,0.137826,-1.52497,-1.36071,1.87988,-3.31882,-0.0234049,1.10762,-0.157487,0.921674,-1.42783,12.8266,-12.373,-0.798025,0.895509,-0.224226,-2.17237,-1753.24,844.434,2304.59,-833.021,609.367,1058.28,-115.194,311.5,136.964,-280.703,113.249,73.685,369.107,-8839.24,8226.65,25.6195,-384.115,159.993,440.767
