# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1350508874
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-561.099,0.5,0.125,1,2,1,1124.04,-0.507623,-0.0630974,-0.505974,-0.317131,0.346769,0.85429,1.84216,-1.71887,-1.59888,0.189671,1.04512,-0.26031,-0.436187,1.33026,-0.335749,-0.274175,-1.5231,-1.59502,-0.751249,8.75587,-1.79921,12.112,8.93891,-0.768634,0.297949,-1.33217,1.29615,1.58447,-1.01707,-10.292,11.6339,-9.04341,-17.7373,-12.5826,-0.122203,1.53807,0.99091,3.51378,-27.862,-5.00873,-32.8155,-22.8562,8.36224,202.547,9.0861,-24.2794,-9.77891,33.857,51.4773,-27.154,-72.2406,251.266,2.18447,-2.33058,-1.73635,-0.074358,-9.88057
-561.099,0,4.03624,0,1,1,569.407,-0.507623,-0.0630974,-0.505974,-0.317131,0.346769,0.85429,1.84216,-1.71887,-1.59888,0.189671,1.04512,-0.26031,-0.436187,1.33026,-0.335749,-0.274175,-1.5231,-1.59502,-0.751249,0.311826,0.0210971,1.24462,-0.520941,-0.959891,1.6629,0.447182,0.703798,-0.138778,0.364412,1.26799,2.51045,-0.113212,-0.277325,0.334172,1.16507,-0.0864777,0.704229,-0.437101,-27.862,-5.00873,-32.8155,-22.8562,8.36224,202.547,9.0861,-24.2794,-9.77891,33.857,51.4773,-27.154,-72.2406,251.266,2.18447,-2.33058,-1.73635,-0.074358,-9.88057
-561.099,0,0.292809,0,1,1,565.316,-0.507623,-0.0630974,-0.505974,-0.317131,0.346769,0.85429,1.84216,-1.71887,-1.59888,0.189671,1.04512,-0.26031,-0.436187,1.33026,-0.335749,-0.274175,-1.5231,-1.59502,-0.751249,-0.0388662,-0.800983,0.959282,0.119137,0.707307,-0.945842,0.0550728,-0.0119306,-0.905027,-1.17974,-0.878556,0.172307,-1.13997,0.83476,-0.443557,0.391838,0.267676,0.10562,0.128631,-27.862,-5.00873,-32.8155,-22.8562,8.36224,202.547,9.0861,-24.2794,-9.77891,33.857,51.4773,-27.154,-72.2406,251.266,2.18447,-2.33058,-1.73635,-0.074358,-9.88057
-529.767,1,0.0128919,3,7,0,568.154,-0.486213,-0.0985615,-0.473468,-0.307028,0.350536,0.802979,1.8223,-1.72503,-1.59087,0.136655,1.04548,-0.222128,-0.459732,1.25382,-0.339909,-0.273308,-1.49871,-1.57687,-0.77039,-1.18314,1.28641,-1.6689,-0.684317,-0.0381467,4.50387,0.88618,-0.0753997,-0.436514,2.37129,0.649828,-1.79684,-0.0647505,6.17171,0.193148,-0.0637705,-0.970297,-0.703423,0.593843,-27.1824,-7.56166,-31.2292,-22.5987,8.36252,189.757,8.97077,-24.4056,-9.75958,20.7414,51.3603,-23.5101,-76.4182,247.32,2.62779,-2.35655,-1.98224,0.126777,-12.3764
-489.545,0.999979,0.00799576,4,15,0,542.613,-0.478472,-0.128568,-0.458863,-0.229852,0.380966,0.756552,1.8064,-1.73582,-1.58876,0.1267,1.00406,-0.184432,-0.367702,1.16668,-0.290771,-0.251738,-1.51855,-1.50395,-0.810495,-0.680948,0.790862,-0.955414,-2.72317,-0.809842,4.41738,0.639813,-0.0553354,-0.222264,0.605393,2.09424,-1.51877,-3.95372,6.63934,-1.48783,-0.716307,0.58634,-2.27686,1.03011,-27.5659,-10.029,-31.1108,-17.9041,9.03814,178.112,8.8771,-24.5983,-9.77164,16.268,48.9984,-20.0705,-61.9373,242.207,3.38126,-2.80599,-2.21163,0.22448,-15.4997
-407.553,0.95225,0.00588041,5,31,0,505.937,-0.024082,0.0977754,0.103826,0.0441217,-0.0335835,-0.637148,1.60868,-1.60937,-1.82785,0.284927,0.291748,0.202816,0.203882,-0.940988,-0.0375863,0.0864806,-1.48292,-1.51858,-0.169058,5.26131,1.75529,3.52536,1.51466,-2.47501,-4.0455,-2.04987,2.72536,-0.386193,-0.575965,-8.03617,1.81019,4.54938,-0.801087,0.648623,1.54824,0.0591974,-0.194591,4.96249,49.4698,69.0744,127.465,121.214,10.9504,-79.574,16.1897,-15.6194,-12.6902,400.881,87.9913,54.427,82.3152,-834.712,22.3208,118.354,-41.9656,16.1102,379.069
-220.919,1,0.00416947,3,7,0,415.084,-0.0286435,0.104433,0.074653,0.0589215,0.00824332,-0.5883,1.62548,-1.60277,-1.83716,0.151308,0.292094,0.199157,0.17577,-0.703785,-0.0501966,0.094044,-1.47274,-1.56624,-0.275061,-0.283134,-0.0845151,-1.95309,-0.199565,1.67858,3.43128,0.499905,0.495405,-0.210501,-7.45176,-0.732495,-0.572208,-1.7488,16.3437,-0.637602,-0.232397,0.551975,-1.97697,-6.16564,-15.1544,3.00129,24.1287,26.1761,-7.73722,-140.462,12.0043,-20.4398,-12.9655,28.4411,38.0675,21.9109,30.5658,-364.927,2.70789,6.35599,5.81257,-0.096848,17.7716
-137.981,1,0.00367596,5,31,0,226.597,-0.0113489,0.120732,0.0721451,-0.0924951,-0.01828,-0.159357,1.5048,-1.60402,-1.90926,0.060158,0.165916,0.232432,0.0661328,0.0985263,0.0344536,0.0960194,-1.51803,-1.57938,-0.273439,-0.551509,0.117817,0.703412,1.60569,0.063335,-8.88902,1.73544,-1.00027,0.222512,1.65108,2.22027,0.765829,2.05353,-8.78411,-0.868428,0.0337348,0.608343,0.109436,-0.047564,-4.34637,5.81458,7.14532,-9.80112,-3.3319,-40.0289,8.0393,-22.4223,-11.9533,2.67443,8.99677,23.1253,9.3516,138.81,0.489148,-0.396494,1.19996,-0.969776,-8.62881
-112.303,0.998867,0.00341648,6,63,0,148.241,0.0928678,0.132178,-0.0803501,-0.0786724,0.0885636,0.0629097,1.63838,-1.4711,-1.63773,0.00250518,0.163501,0.222532,-0.137337,-0.451197,0.0774106,0.218969,-1.51325,-1.64705,-0.182441,0.642532,-0.521203,-1.13613,0.771409,0.931013,2.47534,0.720583,2.36941,3.10044,0.193237,-1.16345,-1.53019,-1.06882,-6.26614,0.312425,1.00504,-0.0673657,-0.591527,0.982121,17.112,17.0279,-10.2887,-5.96087,5.57846,17.3596,10.1216,-19.7688,-11.0836,-0.363647,30.6878,25.6098,-22.1755,-113.104,3.21735,3.92339,3.37104,-0.13885,17.3627
-109.113,0.999721,0.00328574,6,63,0,121.077,0.045965,0.23437,0.0120501,0.0443997,0.161807,-0.0615265,1.60992,-1.38454,-1.74951,0.0795123,-0.0115412,0.00998267,0.156775,-0.0819367,0.162521,0.20229,-1.55447,-1.75579,-0.320406,0.407338,0.842096,-1.53338,-0.941603,-0.227414,0.243652,0.85883,-2.09057,-0.0688675,-0.458185,1.4385,2.21702,-1.28929,2.15177,-0.409067,0.159021,0.424447,0.673426,0.528437,-2.12048,18.2805,-3.39208,7.62117,3.99693,-14.4425,8.74432,-19.5978,-11.1997,24.4903,-7.81808,0.905107,25.6904,84.7539,1.10865,0.902105,1.83936,-0.806918,0.190897
